show_id,show_label,band_id,band_name,performer_name_raw,performer_name_clean,role_raw,role_clean,source_line
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Audrey Leduc,Audrey Leduc,vocals,vocals,113
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Simon Durham,Simon Durham,guitar,guitar,114
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Linda Durham,Linda Durham,keyboards,keyboards,115
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Julia Durham,Julia Durham,guitar,guitar,116
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Emma Durham,Emma Durham,guitar,guitar,117
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Doug Stein,Doug Stein,drums,drums,118
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Mario Giulione,Mario Giulione,vocals,vocals,121
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Dr. Robert Drummond,Dr. Robert Drummond,guitar,guitar,122
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Kenny Drummond,Kenny Drummond,guitar,guitar,123
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Michael Fitch,Michael Fitch,guitar,guitar,124
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Ken Drummond,Ken Drummond,guitar/bass,guitar; bass,125
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Doug Stein,Doug Stein,drums,drums,126
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,The Wet Straps,Angela Murphy,Angela Murphy,vocals,vocals,129
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,The Wet Straps,Allan Gilmore,Allan Gilmore,guitar,guitar,130
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,The Wet Straps,Elyse Gasco,Elyse Gasco,bass,bass,131
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,The Wet Straps,Kira Gilmore,Kira Gilmore,guitar,guitar,132
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,The Wet Straps,Maya Gilmore,Maya Gilmore,percussion,percussion,133
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,The Wet Straps,Doug Stein,Doug Stein,drums,drums,134
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Trevor Hooton,Trevor Hooton,vocals,vocals,149
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Simon Durham,Simon Durham,guitar,guitar,150
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Linda Durham,Linda Durham,keyboards,keyboards,151
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Julia Durham,Julia Durham,guitar,guitar,152
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Emma Durham,Emma Durham,guitar,guitar,153
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Samantha Backman,Samantha Backman,guitar,guitar,154
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u-square-root-u,√root U (Square Root U),Mark Charbonneau,Mark Charbonneau,drums,drums,155
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Rick Collins,Rick Collins,vocals,vocals,158
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Bill Kreklewetz,Bill Kreklewetz,guitar,guitar,159
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Wayne Hemsworth,Wayne Hemsworth,guitar,guitar,160
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Tim Dougherty,Tim Dougherty,guitar,guitar,161
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Dominic Supino,Dominic Supino,guitar,guitar,162
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Jean Boisvert,Jean Boisvert,bass,bass,163
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Mark Charbonneau,Mark Charbonneau,drums,drums,164
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-crumb-snatchers,The Crumb Snatchers,Sam Gyetvay,Sam Gyetvay,vocals/guitar,vocals; guitar,167
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-crumb-snatchers,The Crumb Snatchers,Zander Smith,Zander Smith,bass,bass,168
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-crumb-snatchers,The Crumb Snatchers,Lij,Lij,saxophone,saxophone,169
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-crumb-snatchers,The Crumb Snatchers,Mark Charbonneau,Mark Charbonneau,drums,drums,170
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-above-the-clinic,Above The Clinic,Mario Giulione,Mario Giulione,vocals,vocals,173
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-above-the-clinic,Above The Clinic,Allan Gilmour,Allan Gilmour,guitar,guitar,174
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-above-the-clinic,Above The Clinic,Elyse Gasco,Elyse Gasco,bass,bass,175
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-above-the-clinic,Above The Clinic,Vincent Freeman,Vincent Freeman,guitar,guitar,176
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-above-the-clinic,Above The Clinic,Jay Blumenstein,Jay Blumenstein,drums,drums,177
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-daft-devils,The Daft Devils,Mario Giulione,Mario Giulione,vocals,vocals,180
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-daft-devils,The Daft Devils,Robert Drummond,Robert Drummond,guitar,guitar,181
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-daft-devils,The Daft Devils,Kenny Drummond,Kenny Drummond,guitar,guitar,182
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-daft-devils,The Daft Devils,Michael Fitch,Michael Fitch,guitar,guitar,183
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-daft-devils,The Daft Devils,Kenny Drummond,Ken Drummond,bass,bass,184
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-daft-devils,The Daft Devils,Jay Blumenstein,Jay Blumenstein,drums,drums,185
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-falling-project,The Falling Project,Mario Giulione,Mario Giulione,vocals,vocals,188
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-falling-project,The Falling Project,Ryan Adessky,Ryan Adessky,guitar,guitar,189
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-falling-project,The Falling Project,Christian Buchanan,Christian Buchanan,guitar,guitar,190
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-falling-project,The Falling Project,Thomas Martinet,Thomas Martinet,guitar,guitar,191
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-falling-project,The Falling Project,Tristan Supino,Tristan Supino,guitar,guitar,192
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-falling-project,The Falling Project,Jay Blumenstein,Jay Blumenstein,drums,drums,193
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-rock-n-roll-101-201-301,"Rock'n'Roll 101, 201, 301…",Cardova:,Cardova:,,,208
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-rock-n-roll-101-201-301,"Rock'n'Roll 101, 201, 301…",Sam Gyetvay,Sam Gyetvay,guitar,guitar,209
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-rock-n-roll-101-201-301,"Rock'n'Roll 101, 201, 301…",Jonathan Feist,Jonathan Feist,guitar/vocals,guitar; vocals,210
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-rock-n-roll-101-201-301,"Rock'n'Roll 101, 201, 301…",Zander Smith,Zander Smith,bass,bass,211
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-rock-n-roll-101-201-301,"Rock'n'Roll 101, 201, 301…",Basil Charbonneau,Basil Charbonneau,keyboards,keyboards,212
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-rock-n-roll-101-201-301,"Rock'n'Roll 101, 201, 301…",Mark Charbonneau,Mark Charbonneau,drums,drums,213
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Rick Collins,Rick Collins,vocals,vocals,216
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Bill Kreklewetz,Bill Kreklewetz,guitar,guitar,217
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Wayne Hemsworth,Wayne Hemsworth,guitar,guitar,218
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Tim Dougherty,Tim Dougherty,guitar,guitar,219
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Dominic Supino,Dominic Supino,guitar,guitar,220
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Tristan Hemsworth,Tristan Hemsworth,bass,bass,221
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The J. STEIN BLUES EXPERIENCE!,Mark Charbonneau,Mark Charbonneau,drums,drums,222
