band_id,show_id,show_label,band_name_raw,band_name_clean,is_solo,source_line
lftg-22-2024-freight-train,lftg-22-2024,LFTG 22 (2024),Freight Train,Freight Train,no,1273
lftg-22-2024-the-broken-picks,lftg-22-2024,LFTG 22 (2024),The Broken Picks,The Broken Picks,no,1281
lftg-22-2024-april-sky,lftg-22-2024,LFTG 22 (2024),April Sky,April Sky,no,1290
lftg-22-2024-sour-apples,lftg-22-2024,LFTG 22 (2024),Sour Apples,Sour Apples,no,1298
lftg-22-2024-the-wrong,lftg-22-2024,LFTG 22 (2024),The Wrong,The Wrong,no,1304
lftg-22-2024-sonic-shower,lftg-22-2024,LFTG 22 (2024),Sonic Shower,Sonic Shower,no,1313
lftg-22-2024-crossfire-hurricane,lftg-22-2024,LFTG 22 (2024),Crossfire Hurricane,Crossfire Hurricane,no,1322
lftg-22-2024-the-cruelest-line,lftg-22-2024,LFTG 22 (2024),The Cruelest Line,The Cruelest Line,no,1333
lftg-23-2025-sarah-elman,lftg-23-2025,LFTG 23 (2025),Sarah Elman,Sarah Elman,no,1358
lftg-23-2025-mental-metal,lftg-23-2025,LFTG 23 (2025),Mental Metal,Mental Metal,no,1364
lftg-23-2025-marcil-playground,lftg-23-2025,LFTG 23 (2025),Marcil Playground,Marcil Playground,no,1371
lftg-23-2025-red-hot-chicken-nuggets,lftg-23-2025,LFTG 23 (2025),Red Hot Chicken Nuggets,Red Hot Chicken Nuggets,no,1377
lftg-23-2025-the-only-one,lftg-23-2025,LFTG 23 (2025),The Only One,The Only One,no,1384
lftg-23-2025-mirror-madness,lftg-23-2025,LFTG 23 (2025),Mirror Madness,Mirror Madness,no,1391
lftg-23-2025-off-track,lftg-23-2025,LFTG 23 (2025),Off Track,Off Track,no,1399
lftg-23-2025-sour-apples,lftg-23-2025,LFTG 23 (2025),Sour Apples,Sour Apples,no,1407
lftg-23-2025-mechanically-separated,lftg-23-2025,LFTG 23 (2025),Mechanically Separated,Mechanically Separated,no,1413
lftg-23-2025-the-wrong,lftg-23-2025,LFTG 23 (2025),The Wrong,The Wrong,no,1423
lftg-23-2025-modern-movement,lftg-23-2025,LFTG 23 (2025),Modern Movement,Modern Movement,no,1430
lftg-23-2025-crossfire-hurricane,lftg-23-2025,LFTG 23 (2025),Crossfire Hurricane,Crossfire Hurricane,no,1437
lftg-23-2025-the-lost-art,lftg-23-2025,LFTG 23 (2025),The Lost Art,The Lost Art,no,1446
