show_id,show_label,band_id,song,url
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-piltdown-man,Happy Word Explosion by Benjamin Wexler,https://youtu.be/mXbrY89svbo?si=whQNdXy10QcYP9Nl
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-the-unknown,Wipe Out by The Ventures,https://youtu.be/1zkufiGYCNw?si=RVKO92PPAQt3IKf7
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-carmen-and-the-devil,The Midnight Special by Creedence Clearwater Revival,https://youtu.be/j-51n3v1iGY?si=ZIMKsvvsoCF0CbbR
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-street-spirit,Ripcord by Radiohead,https://youtu.be/mOz-xc2kXTE?si=3lS_gJtZ3kv69DCt
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-one-way-ticket,Sunshine Of Your Love by Cream,https://youtu.be/tn7ntXBT2PY?si=msm-z2P26WbUuCB0
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-man-on-the-scene,Johnny B Goode by Chuck Berry,https://youtu.be/c4ZrnlHbta8?si=RYw48SPPjR2-Gmma
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-ripped-at-the-seams,Born In The U.S.A. by Bruce Springsteen,https://youtu.be/5GUbVGI0-xo?si=xAyTgMPe3QTOnkE0
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-the-haiverers,Slow Down by The Beatles,https://youtu.be/9Y6ZpzoxK_w?si=yb9P17Op1JRZxj0m
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-the-zoot-suits,Hollow Body Rock by The Zoot Suits,https://youtu.be/zW3uDCq_hD8?si=C_TgNbTsRQbpa_NI
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-the-daft-devils,Laid Back by The Sheepdogs,https://youtu.be/nG5fSPdJ4lI?si=mH3eGR_-Emlh06rx
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-throwing-knives,Complexity by Eagles Of Deatrh Metal,https://youtu.be/3JNlJdBwQws?si=Sha56TA4-F8lSeM7
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-supersonic-twist,Wipe Out by The Ventures,https://youtu.be/WYBTJYoSQDk?si=oCokMLxddRif5ejg
lftg-16-2017,LFTG 16 (2017),lftg-16-2017-1000-stars,Thinking Out Loud by Ed Sheeran,https://youtu.be/q98Y5oBVVY4?si=DcqFgFxKdyUxhte2
lftg-16-2017,LFTG 15 (2016),lftg-16-2017-listen-bud,Doo Doo Doo by Charlie Etinson,https://youtu.be/JKQcNv2eSBY?si=oFn7MJdGgka-s8p0
